,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
94001,SARIMA,0.8247,4,0.378,14.2857,25.0442,26.8597,1.0,0.0,2.0,0.0,0.0,2.0,13.0
27001,SARIMA,0.2563,6,1.5337,20.8844,51.0623,53.4497,0.0,0.0,1.0,2.0,0.0,2.0,13.0
44001,SARIMA,0.0918,4,5.7694,37.6407,174.998,177.4358,0.0,0.0,0.0,0.0,0.0,1.0,13.0
88001,SARIMA,1.1109,4,0.9258,42.8571,160.7269,162.3645,0.0,0.0,0.0,0.0,0.0,0.0,13.0
95001,SARIMA,0.2877,4,0.5946,26.1905,51.7802,55.1699,0.0,0.0,2.0,2.0,0.0,1.0,13.0
47001,SARIMA,0.3139,4,2.3546,24.2677,48.8512,50.6263,2.0,1.0,2.0,2.0,0.0,2.0,13.0
70001,SARIMA,0.0645,6,1.9435,26.4598,67.165,70.5594,1.0,0.0,2.0,2.0,0.0,1.0,13.0
15001,SARIMA,0.1115,4,0.5946,22.619,84.5312,91.0775,2.0,2.0,2.0,1.0,0.0,0.0,13.0
20001,SARIMA,0.1331,6,1.9512,8.196,60.4762,62.5943,2.0,0.0,2.0,1.0,1.0,1.0,13.0
50001,SARIMA,0.1308,4,3.3343,29.1667,57.9422,59.4551,2.0,1.0,0.0,2.0,0.0,0.0,13.0
85001,SARIMA,0.0483,4,1.0605,41.2698,44.2882,46.4063,0.0,0.0,2.0,2.0,0.0,2.0,13.0
