exec_date,index,entity,year,period,total
2020-12-16 12:03:43.551843,95,91000,2016,5,17
2020-12-16 12:03:43.551843,96,91000,2016,6,8
2020-12-16 12:03:43.551843,97,91000,2016,7,9
2020-12-16 12:03:43.551843,98,91000,2016,8,13
2020-12-16 12:03:43.551843,99,91000,2016,9,12
2020-12-16 12:03:43.551843,100,91000,2016,10,16
2020-12-16 12:03:43.551843,101,91000,2016,11,8
2020-12-16 12:03:43.551843,102,91000,2016,12,12.0
2020-12-16 12:03:43.551843,103,91000,2016,13,11.0
2020-12-16 12:03:43.551843,104,91000,2017,1,17
2020-12-16 12:03:43.551843,105,91000,2017,2,9
2020-12-16 12:03:43.551843,106,91000,2017,3,13
2020-12-16 12:03:43.551843,107,91000,2017,4,16
2020-12-16 12:03:43.551843,108,91000,2017,5,15
2020-12-16 12:03:43.551843,109,91000,2017,6,10
2020-12-16 12:03:43.551843,110,91000,2017,7,7
2020-12-16 12:03:43.551843,111,91000,2017,8,12
2020-12-16 12:03:43.551843,112,91000,2017,9,11
2020-12-16 12:03:43.551843,113,91000,2017,10,8
2020-12-16 12:03:43.551843,114,91000,2017,11,14
2020-12-16 12:03:43.551843,115,91000,2017,12,13.0
2020-12-16 12:03:43.551843,116,91000,2017,13,20.0
2020-12-16 12:03:43.551843,117,91000,2018,1,10
2020-12-16 12:03:43.551843,118,91000,2018,2,17
2020-12-16 12:03:43.551843,119,91000,2018,3,10
2020-12-16 12:03:43.551843,120,91000,2018,4,13
2020-12-16 12:03:43.551843,121,91000,2018,5,17
2020-12-16 12:03:43.551843,122,91000,2018,6,12
2020-12-16 12:03:43.551843,123,91000,2018,7,9
2020-12-16 12:03:43.551843,124,91000,2018,8,12
2020-12-16 12:03:43.551843,125,91000,2018,9,13
2020-12-16 12:03:43.551843,126,91000,2018,10,10
2020-12-16 12:03:43.551843,127,91000,2018,11,13
2020-12-16 12:03:43.551843,128,91000,2018,12,11.0
2020-12-16 12:03:43.551843,129,91000,2018,13,13.0
2020-12-16 12:03:43.551843,130,91000,2019,1,11
2020-12-16 12:03:43.551843,131,91000,2019,2,11
2020-12-16 12:03:43.551843,132,91000,2019,3,10
2020-12-16 12:03:43.551843,133,91000,2019,4,24
2020-12-16 12:03:43.551843,134,91000,2019,5,11
2020-12-16 12:03:43.551843,135,91000,2019,6,9
2020-12-16 12:03:43.551843,136,91000,2019,7,9
2020-12-16 12:03:43.551843,137,91000,2019,8,14
2020-12-16 12:03:43.551843,138,91000,2019,9,23
2020-12-16 12:03:43.551843,139,91000,2019,10,15
2020-12-16 12:03:43.551843,140,91000,2019,11,14
2020-12-16 12:03:43.551843,141,91000,2019,12,22.0
2020-12-16 12:03:43.551843,142,91000,2019,13,7.0
2020-12-16 12:03:43.551843,143,91000,2020,1,24
2020-12-16 12:03:43.551843,144,91000,2020,2,15
2020-12-16 12:03:43.551843,145,91000,2020,3,19
2020-12-16 12:03:43.551843,146,91000,2020,4,17
2020-12-16 12:03:43.551843,147,91000,2020,5,73
2020-12-16 12:03:43.551843,148,91000,2020,6,47
2020-12-16 12:03:43.551843,149,91000,2020,7,41
2020-12-16 12:03:43.551843,150,91000,2020,8,43
2020-12-16 12:03:43.551843,151,91000,2020,9,16
2020-12-16 12:03:43.551843,152,91000,2020,10,19
2020-12-16 12:03:43.551843,153,91000,2020,11,19
2020-12-16 12:03:43.551843,154,91000,2020,12,0.0
2020-12-16 12:03:43.551843,155,91000,2020,13,0.0
2020-12-16 12:03:43.551843,156,05000,2015,1,2293
2020-12-16 12:03:43.551843,157,05000,2015,2,1968
2020-12-16 12:03:43.551843,158,05000,2015,3,1917
2020-12-16 12:03:43.551843,159,05000,2015,4,1830
2020-12-16 12:03:43.551843,160,05000,2015,5,2008
2020-12-16 12:03:43.551843,161,05000,2015,6,1865
2020-12-16 12:03:43.551843,162,05000,2015,7,1869
2020-12-16 12:03:43.551843,163,05000,2015,8,1843
2020-12-16 12:03:43.551843,164,05000,2015,9,1809
2020-12-16 12:03:43.551843,165,05000,2015,10,1958
2020-12-16 12:03:43.551843,166,05000,2015,11,1950
2020-12-16 12:03:43.551843,167,05000,2015,12,2102.0
2020-12-16 12:03:43.551843,168,05000,2015,13,2672.0
2020-12-16 12:03:43.551843,169,05000,2016,1,2021
2020-12-16 12:03:43.551843,170,05000,2016,2,1986
2020-12-16 12:03:43.551843,171,05000,2016,3,2034
2020-12-16 12:03:43.551843,172,05000,2016,4,1949
2020-12-16 12:03:43.551843,173,05000,2016,5,2047
2020-12-16 12:03:43.551843,174,05000,2016,6,2197
2020-12-16 12:03:43.551843,175,05000,2016,7,2232
2020-12-16 12:03:43.551843,176,05000,2016,8,2117
2020-12-16 12:03:43.551843,177,05000,2016,9,1971
2020-12-16 12:03:43.551843,178,05000,2016,10,1956
2020-12-16 12:03:43.551843,179,05000,2016,11,2074
2020-12-16 12:03:43.551843,180,05000,2016,12,2123.0
2020-12-16 12:03:43.551843,181,05000,2016,13,2353.0
2020-12-16 12:03:43.551843,182,05000,2017,1,2400
2020-12-16 12:03:43.551843,183,05000,2017,2,2073
2020-12-16 12:03:43.551843,184,05000,2017,3,2096
2020-12-16 12:03:43.551843,185,05000,2017,4,2119
2020-12-16 12:03:43.551843,186,05000,2017,5,2165
2020-12-16 12:03:43.551843,187,05000,2017,6,2119
2020-12-16 12:03:43.551843,188,05000,2017,7,2070
2020-12-16 12:03:43.551843,189,05000,2017,8,2019
2020-12-16 12:03:43.551843,190,05000,2017,9,2131
2020-12-16 12:03:43.551843,191,05000,2017,10,2191
2020-12-16 12:03:43.551843,192,05000,2017,11,2201
2020-12-16 12:03:43.551843,193,05000,2017,12,2200.0
2020-12-16 12:03:43.551843,194,05000,2017,13,2247.0
2020-12-16 12:03:43.551843,195,05000,2018,1,2240
2020-12-16 12:03:43.551843,196,05000,2018,2,2023
2020-12-16 12:03:43.551843,197,05000,2018,3,2068
2020-12-16 12:03:43.551843,198,05000,2018,4,2052
2020-12-16 12:03:43.551843,199,05000,2018,5,2152
2020-12-16 12:03:43.551843,200,05000,2018,6,2246
2020-12-16 12:03:43.551843,201,05000,2018,7,2243
2020-12-16 12:03:43.551843,202,05000,2018,8,2216
2020-12-16 12:03:43.551843,203,05000,2018,9,2180
2020-12-16 12:03:43.551843,204,05000,2018,10,2153
2020-12-16 12:03:43.551843,205,05000,2018,11,2132
2020-12-16 12:03:43.551843,206,05000,2018,12,2265.0
2020-12-16 12:03:43.551843,207,05000,2018,13,2498.0
