zone,date,year,month,week,value
ANDINA,6/3/2018,2018,6,23,3
ANDINA,6/10/2018,2018,6,24,7
ANDINA,6/17/2018,2018,6,25,6
ANDINA,6/24/2018,2018,6,26,9
ANDINA,7/1/2018,2018,7,27,1
ANDINA,7/8/2018,2018,7,28,3
ANDINA,7/15/2018,2018,7,29,3
ANDINA,7/22/2018,2018,7,30,2
ANDINA,7/29/2018,2018,7,31,7
ANDINA,8/5/2018,2018,8,32,6
ANDINA,8/12/2018,2018,8,33,7
ANDINA,8/19/2018,2018,8,34,6
ANDINA,8/26/2018,2018,8,35,4
ANDINA,9/2/2018,2018,9,36,3
ANDINA,9/9/2018,2018,9,37,7
ANDINA,9/16/2018,2018,9,38,9
ANDINA,9/23/2018,2018,9,39,4
ANDINA,9/30/2018,2018,9,40,2
ANDINA,10/7/2018,2018,10,41,5
ANDINA,10/14/2018,2018,10,42,2
ANDINA,10/21/2018,2018,10,43,7
ANDINA,10/28/2018,2018,10,44,3
ANDINA,11/4/2018,2018,11,45,2
ANDINA,11/11/2018,2018,11,46,5
ANDINA,11/18/2018,2018,11,47,1
ANDINA,11/25/2018,2018,11,48,3
ANDINA,12/2/2018,2018,12,49,1
ANDINA,12/9/2018,2018,12,50,5
ANDINA,12/16/2018,2018,12,51,1
ANDINA,12/23/2018,2018,12,52,3
ANDINA,1/1/2019,2019,1,1,1
ANDINA,1/6/2019,2019,1,2,1
ANDINA,1/13/2019,2019,1,3,3
ANDINA,1/20/2019,2019,1,4,2
ANDINA,1/27/2019,2019,1,5,1
ANDINA,2/3/2019,2019,2,6,2
ANDINA,2/10/2019,2019,2,7,2
ANDINA,2/17/2019,2019,2,8,1
ANDINA,2/24/2019,2019,2,9,1
ANDINA,3/3/2019,2019,3,10,4
ANDINA,3/10/2019,2019,3,11,1
ANDINA,3/17/2019,2019,3,12,5
ANDINA,3/24/2019,2019,3,13,1
ANDINA,3/31/2019,2019,3,14,1
ANDINA,4/7/2019,2019,4,15,0
ANDINA,4/14/2019,2019,4,16,1
ANDINA,4/21/2019,2019,4,17,0
ANDINA,4/28/2019,2019,4,18,3
ANDINA,5/5/2019,2019,5,19,0
ANDINA,5/12/2019,2019,5,20,3
ANDINA,5/19/2019,2019,5,21,1
