exec_date,index,entity,year,period,total
2020-12-16 11:38:41.992881,94,00000,2017,4,818
2020-12-16 11:38:41.992881,95,00000,2017,5,850.0
2020-12-16 11:38:41.992881,96,00000,2017,6,837.0
2020-12-16 11:38:41.992881,97,00000,2017,7,834.0
2020-12-16 11:38:41.992881,98,00000,2017,8,834.0
2020-12-16 11:38:41.992881,99,00000,2017,9,857.0
2020-12-16 11:38:41.992881,100,00000,2017,10,849.0
2020-12-16 11:38:41.992881,101,00000,2017,11,806.0
2020-12-16 11:38:41.992881,102,00000,2017,12,773.0
2020-12-16 11:38:41.992881,103,00000,2017,13,806.0
2020-12-16 11:38:41.992881,104,00000,2018,1,738
2020-12-16 11:38:41.992881,105,00000,2018,2,753
2020-12-16 11:38:41.992881,106,00000,2018,3,800
2020-12-16 11:38:41.992881,107,00000,2018,4,731
2020-12-16 11:38:41.992881,108,00000,2018,5,758.0
2020-12-16 11:38:41.992881,109,00000,2018,6,725.0
2020-12-16 11:38:41.992881,110,00000,2018,7,782.0
2020-12-16 11:38:41.992881,111,00000,2018,8,817.0
2020-12-16 11:38:41.992881,112,00000,2018,9,807.0
2020-12-16 11:38:41.992881,113,00000,2018,10,828.0
2020-12-16 11:38:41.992881,114,00000,2018,11,766.0
2020-12-16 11:38:41.992881,115,00000,2018,12,754.0
2020-12-16 11:38:41.992881,116,00000,2018,13,744.0
2020-12-16 11:38:41.992881,117,00000,2019,1,694
2020-12-16 11:38:41.992881,118,00000,2019,2,693
2020-12-16 11:38:41.992881,119,00000,2019,3,704
2020-12-16 11:38:41.992881,120,00000,2019,4,679
2020-12-16 11:38:41.992881,121,00000,2019,5,758.0
2020-12-16 11:38:41.992881,122,00000,2019,6,721.0
2020-12-16 11:38:41.992881,123,00000,2019,7,714.0
2020-12-16 11:38:41.992881,124,00000,2019,8,754.0
2020-12-16 11:38:41.992881,125,00000,2019,9,700.0
2020-12-16 11:38:41.992881,126,00000,2019,10,737.0
2020-12-16 11:38:41.992881,127,00000,2019,11,667.0
2020-12-16 11:38:41.992881,128,00000,2019,12,641.0
2020-12-16 11:38:41.992881,129,00000,2019,13,566.0
2020-12-16 11:38:41.992881,130,00000,2020,1,684
2020-12-16 11:38:41.992881,131,00000,2020,2,634
2020-12-16 11:38:41.992881,132,00000,2020,3,580
2020-12-16 11:38:41.992881,133,00000,2020,4,489
2020-12-16 11:38:41.992881,134,00000,2020,5,0.0
2020-12-16 11:38:41.992881,135,00000,2020,6,0.0
2020-12-16 11:38:41.992881,136,00000,2020,7,0.0
2020-12-16 11:38:41.992881,137,00000,2020,8,0.0
2020-12-16 11:38:41.992881,138,00000,2020,9,0.0
2020-12-16 11:38:41.992881,139,00000,2020,10,0.0
2020-12-16 11:38:41.992881,140,00000,2020,11,0.0
2020-12-16 11:38:41.992881,141,00000,2020,12,0.0
2020-12-16 11:38:41.992881,142,00000,2020,13,0.0
2020-12-16 11:38:41.992881,143,05000,2010,1,77
2020-12-16 11:38:41.992881,144,05000,2010,2,75
2020-12-16 11:38:41.992881,145,05000,2010,3,62
2020-12-16 11:38:41.992881,146,05000,2010,4,58
2020-12-16 11:38:41.992881,147,05000,2010,5,56.0
2020-12-16 11:38:41.992881,148,05000,2010,6,70.0
2020-12-16 11:38:41.992881,149,05000,2010,7,51.0
2020-12-16 11:38:41.992881,150,05000,2010,8,54.0
2020-12-16 11:38:41.992881,151,05000,2010,9,58.0
2020-12-16 11:38:41.992881,152,05000,2010,10,48.0
2020-12-16 11:38:41.992881,153,05000,2010,11,66.0
2020-12-16 11:38:41.992881,154,05000,2010,12,54.0
2020-12-16 11:38:41.992881,155,05000,2010,13,49.0
2020-12-16 11:38:41.992881,156,05000,2011,1,75
2020-12-16 11:38:41.992881,157,05000,2011,2,72
2020-12-16 11:38:41.992881,158,05000,2011,3,78
2020-12-16 11:38:41.992881,159,05000,2011,4,74
2020-12-16 11:38:41.992881,160,05000,2011,5,88.0
2020-12-16 11:38:41.992881,161,05000,2011,6,69.0
2020-12-16 11:38:41.992881,162,05000,2011,7,66.0
2020-12-16 11:38:41.992881,163,05000,2011,8,85.0
2020-12-16 11:38:41.992881,164,05000,2011,9,78.0
2020-12-16 11:38:41.992881,165,05000,2011,10,86.0
2020-12-16 11:38:41.992881,166,05000,2011,11,72.0
2020-12-16 11:38:41.992881,167,05000,2011,12,66.0
2020-12-16 11:38:41.992881,168,05000,2011,13,55.0
2020-12-16 11:38:41.992881,169,05000,2012,1,64
2020-12-16 11:38:41.992881,170,05000,2012,2,68
2020-12-16 11:38:41.992881,171,05000,2012,3,60
2020-12-16 11:38:41.992881,172,05000,2012,4,89
2020-12-16 11:38:41.992881,173,05000,2012,5,69.0
2020-12-16 11:38:41.992881,174,05000,2012,6,71.0
2020-12-16 11:38:41.992881,175,05000,2012,7,79.0
2020-12-16 11:38:41.992881,176,05000,2012,8,87.0
2020-12-16 11:38:41.992881,177,05000,2012,9,75.0
2020-12-16 11:38:41.992881,178,05000,2012,10,66.0
2020-12-16 11:38:41.992881,179,05000,2012,11,66.0
2020-12-16 11:38:41.992881,180,05000,2012,12,76.0
2020-12-16 11:38:41.992881,181,05000,2012,13,58.0
2020-12-16 11:38:41.992881,182,05000,2013,1,72
2020-12-16 11:38:41.992881,183,05000,2013,2,77
2020-12-16 11:38:41.992881,184,05000,2013,3,84
2020-12-16 11:38:41.992881,185,05000,2013,4,91
2020-12-16 11:38:41.992881,186,05000,2013,5,84.0
2020-12-16 11:38:41.992881,187,05000,2013,6,73.0
2020-12-16 11:38:41.992881,188,05000,2013,7,84.0
2020-12-16 11:38:41.992881,189,05000,2013,8,70.0
2020-12-16 11:38:41.992881,190,05000,2013,9,95.0
2020-12-16 11:38:41.992881,191,05000,2013,10,92.0
2020-12-16 11:38:41.992881,192,05000,2013,11,77.0
2020-12-16 11:38:41.992881,193,05000,2013,12,64.0
2020-12-16 11:38:41.992881,194,05000,2013,13,61.0
2020-12-16 11:38:41.992881,195,05000,2014,1,74
2020-12-16 11:38:41.992881,196,05000,2014,2,67
2020-12-16 11:38:41.992881,197,05000,2014,3,93
2020-12-16 11:38:41.992881,198,05000,2014,4,85
2020-12-16 11:38:41.992881,199,05000,2014,5,82.0
2020-12-16 11:38:41.992881,200,05000,2014,6,92.0
2020-12-16 11:38:41.992881,201,05000,2014,7,96.0
2020-12-16 11:38:41.992881,202,05000,2014,8,86.0
2020-12-16 11:38:41.992881,203,05000,2014,9,85.0
2020-12-16 11:38:41.992881,204,05000,2014,10,78.0
2020-12-16 11:38:41.992881,205,05000,2014,11,78.0
2020-12-16 11:38:41.992881,206,05000,2014,12,87.0
2020-12-16 11:38:41.992881,207,05000,2014,13,101.0
2020-12-16 11:38:41.992881,208,05000,2015,1,86
2020-12-16 11:38:41.992881,209,05000,2015,2,71
2020-12-16 11:38:41.992881,210,05000,2015,3,92
2020-12-16 11:38:41.992881,211,05000,2015,4,72
2020-12-16 11:38:41.992881,212,05000,2015,5,84.0
2020-12-16 11:38:41.992881,213,05000,2015,6,76.0
2020-12-16 11:38:41.992881,214,05000,2015,7,74.0
2020-12-16 11:38:41.992881,215,05000,2015,8,91.0
2020-12-16 11:38:41.992881,216,05000,2015,9,73.0
2020-12-16 11:38:41.992881,217,05000,2015,10,68.0
2020-12-16 11:38:41.992881,218,05000,2015,11,72.0
2020-12-16 11:38:41.992881,219,05000,2015,12,74.0
2020-12-16 11:38:41.992881,220,05000,2015,13,77.0
2020-12-16 11:38:41.992881,221,05000,2016,1,80
2020-12-16 11:38:41.992881,222,05000,2016,2,94
2020-12-16 11:38:41.992881,223,05000,2016,3,65
2020-12-16 11:38:41.992881,224,05000,2016,4,73
2020-12-16 11:38:41.992881,225,05000,2016,5,69.0
2020-12-16 11:38:41.992881,226,05000,2016,6,97.0
2020-12-16 11:38:41.992881,227,05000,2016,7,86.0
2020-12-16 11:38:41.992881,228,05000,2016,8,71.0
2020-12-16 11:38:41.992881,229,05000,2016,9,70.0
2020-12-16 11:38:41.992881,230,05000,2016,10,98.0
2020-12-16 11:38:41.992881,231,05000,2016,11,96.0
2020-12-16 11:38:41.992881,232,05000,2016,12,80.0
2020-12-16 11:38:41.992881,233,05000,2016,13,96.0
2020-12-16 11:38:41.992881,234,05000,2017,1,96
2020-12-16 11:38:41.992881,235,05000,2017,2,74
2020-12-16 11:38:41.992881,236,05000,2017,3,78
2020-12-16 11:38:41.992881,237,05000,2017,4,93
2020-12-16 11:38:41.992881,238,05000,2017,5,80.0
2020-12-16 11:38:41.992881,239,05000,2017,6,81.0
2020-12-16 11:38:41.992881,240,05000,2017,7,101.0
2020-12-16 11:38:41.992881,241,05000,2017,8,92.0
2020-12-16 11:38:41.992881,242,05000,2017,9,92.0
2020-12-16 11:38:41.992881,243,05000,2017,10,99.0
2020-12-16 11:38:41.992881,244,05000,2017,11,93.0
2020-12-16 11:38:41.992881,245,05000,2017,12,77.0
2020-12-16 11:38:41.992881,246,05000,2017,13,96.0
2020-12-16 11:38:41.992881,247,05000,2018,1,82
2020-12-16 11:38:41.992881,248,05000,2018,2,84
2020-12-16 11:38:41.992881,249,05000,2018,3,82
2020-12-16 11:38:41.992881,250,05000,2018,4,94
2020-12-16 11:38:41.992881,251,05000,2018,5,99.0
2020-12-16 11:38:41.992881,252,05000,2018,6,88.0
2020-12-16 11:38:41.992881,253,05000,2018,7,102.0
2020-12-16 11:38:41.992881,254,05000,2018,8,103.0
2020-12-16 11:38:41.992881,255,05000,2018,9,74.0
2020-12-16 11:38:41.992881,256,05000,2018,10,90.0
2020-12-16 11:38:41.992881,257,05000,2018,11,75.0
2020-12-16 11:38:41.992881,258,05000,2018,12,82.0
2020-12-16 11:38:41.992881,259,05000,2018,13,85.0
2020-12-16 11:38:41.992881,260,05000,2019,1,84
2020-12-16 11:38:41.992881,261,05000,2019,2,78
2020-12-16 11:38:41.992881,262,05000,2019,3,89
2020-12-16 11:38:41.992881,263,05000,2019,4,67
2020-12-16 11:38:41.992881,264,05000,2019,5,105.0
2020-12-16 11:38:41.992881,265,05000,2019,6,70.0
2020-12-16 11:38:41.992881,266,05000,2019,7,79.0
2020-12-16 11:38:41.992881,267,05000,2019,8,81.0
2020-12-16 11:38:41.992881,268,05000,2019,9,81.0
2020-12-16 11:38:41.992881,269,05000,2019,10,80.0
2020-12-16 11:38:41.992881,270,05000,2019,11,87.0
2020-12-16 11:38:41.992881,271,05000,2019,12,65.0
2020-12-16 11:38:41.992881,272,05000,2019,13,65.0
2020-12-16 11:38:41.992881,273,05000,2020,1,86
2020-12-16 11:38:41.992881,274,05000,2020,2,76
2020-12-16 11:38:41.992881,275,05000,2020,3,64
