,method,trend,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
23001,SARIMA,n,0.1741,5,46.6776,4.1246,93.2176,94.0065,2.0,2.0,1.0,0.0,2.0,0.0,13.0
41001,SARIMA,n,0.0162,5,109.049,4.1319,135.0692,137.4899,2.0,0.0,2.0,1.0,0.0,2.0,13.0
52001,SARIMA,n,0.0399,6,243.0115,4.6095,115.1014,115.5781,2.0,2.0,2.0,0.0,1.0,1.0,13.0
66001,SARIMA,n,0.0732,4,111.6167,4.0029,137.196,138.3897,0.0,2.0,1.0,1.0,1.0,0.0,13.0
19001,SARIMA,n,0.0258,5,69.8656,4.469,108.2848,109.0737,0.0,1.0,2.0,0.0,1.0,1.0,13.0
99001,SARIMA,n,0.0217,4,3.549,4.1881,49.0083,49.7971,2.0,2.0,0.0,1.0,1.0,0.0,13.0
94001,SARIMA,n,0.0227,4,4.2756,4.2082,70.6478,71.8312,1.0,1.0,2.0,1.0,1.0,1.0,13.0
27001,SARIMA,n,0.0923,4,15.9239,4.107,88.1068,89.0145,1.0,1.0,1.0,0.0,2.0,0.0,13.0
44001,SARIMA,n,0.0027,6,83.3747,4.002,12.0,,1.0,2.0,2.0,2.0,2.0,0.0,13.0
88001,SARIMA,n,0.033,4,11.9546,4.0175,67.6335,68.8168,2.0,2.0,1.0,1.0,1.0,1.0,13.0
95001,SARIMA,n,0.119,6,11.1048,4.2933,241.2586,248.8959,2.0,1.0,2.0,1.0,0.0,1.0,13.0
47001,SARIMA,n,0.0493,7,99.7672,5.6115,289.6094,294.832,0.0,2.0,2.0,1.0,0.0,1.0,13.0
70001,SARIMA,n,0.0165,6,78.9846,4.619,146.534,147.5038,0.0,0.0,0.0,0.0,1.0,1.0,13.0
15001,SARIMA,n,0.1201,6,41.1864,4.5819,93.7366,94.3721,2.0,2.0,2.0,1.0,0.0,2.0,13.0
20001,SARIMA,n,0.2127,4,44.2612,4.1612,167.1473,169.5346,2.0,0.0,1.0,1.0,1.0,1.0,13.0
50001,SARIMA,n,0.2905,5,176.8272,4.4571,406.3614,411.2369,0.0,1.0,2.0,1.0,0.0,0.0,13.0
85001,SARIMA,n,0.033,4,28.4987,6.0896,251.746,259.6945,2.0,0.0,2.0,1.0,0.0,1.0,13.0
