exec_date,date,entity,year,period,value,forecast,ci_inf,ci_sup
2020-11-13 13:00:22.845705,2017-01-29,08000,2017.0,2.0,10208,,,
2020-11-13 13:00:22.845705,2017-01-29,08001,2017.0,2.0,6364,,,
2020-11-13 13:00:22.845705,2017-01-29,11001,2017.0,2.0,73408,,,
2020-11-13 13:00:22.845705,2017-01-29,13000,2017.0,2.0,6494,,,
2020-11-13 13:00:22.845705,2017-01-29,13001,2017.0,2.0,3516,,,
2020-11-13 13:00:22.845705,2017-01-29,15000,2017.0,2.0,4435,,,
2020-11-13 13:00:22.845705,2017-01-29,15001,2017.0,2.0,983,,,
2020-11-13 13:00:22.845705,2017-01-29,17000,2017.0,2.0,3174,,,
2020-11-13 13:00:22.845705,2017-01-29,17001,2017.0,2.0,2237,,,
2020-11-13 13:00:22.845705,2017-01-29,18000,2017.0,2.0,2368,,,
2020-11-13 13:00:22.845705,2017-01-29,18001,2017.0,2.0,1418,,,
2020-11-13 13:00:22.845705,2017-01-29,19000,2017.0,2.0,4468,,,
2020-11-13 13:00:22.845705,2017-01-29,19001,2017.0,2.0,1076,,,
2020-11-13 13:00:22.845705,2017-01-29,20000,2017.0,2.0,4997,,,
2020-11-13 13:00:22.845705,2017-01-29,20001,2017.0,2.0,2839,,,
2020-11-13 13:00:22.845705,2017-01-29,23000,2017.0,2.0,4663,,,
2020-11-13 13:00:22.845705,2017-01-29,23001,2017.0,2.0,1469,,,
2020-11-13 13:00:22.845705,2017-01-29,25000,2017.0,2.0,11712,,,
2020-11-13 13:00:22.845705,2017-01-29,27000,2017.0,2.0,960,,,
2020-11-13 13:00:22.845705,2017-01-29,27001,2017.0,2.0,512,,,
2020-11-13 13:00:22.845705,2017-01-29,41000,2017.0,2.0,5154,,,
2020-11-13 13:00:22.845705,2017-01-29,41001,2017.0,2.0,2135,,,
2020-11-13 13:00:22.845705,2017-01-29,44000,2017.0,2.0,3746,,,
2020-11-13 13:00:22.845705,2017-01-29,44001,2017.0,2.0,1141,,,
2020-11-13 13:00:22.845705,2017-01-29,47000,2017.0,2.0,5299,,,
2020-11-13 13:00:22.845705,2017-01-29,47001,2017.0,2.0,1441,,,
2020-11-13 13:00:22.845705,2017-01-29,50000,2017.0,2.0,4277,,,
2020-11-13 13:00:22.845705,2017-01-29,50001,2017.0,2.0,3019,,,
2020-11-13 13:00:22.845705,2017-01-29,52000,2017.0,2.0,7493,,,
2020-11-13 13:00:22.845705,2017-01-29,52001,2017.0,2.0,3446,,,
2020-11-13 13:00:22.845705,2017-01-29,54000,2017.0,2.0,6067,,,
2020-11-13 13:00:22.845705,2017-01-29,54001,2017.0,2.0,4197,,,
2020-11-13 13:00:22.845705,2017-01-29,63000,2017.0,2.0,3172,,,
2020-11-13 13:00:22.845705,2017-01-29,63001,2017.0,2.0,1994,,,
2020-11-13 13:00:22.845705,2017-01-29,66000,2017.0,2.0,4362,,,
2020-11-13 13:00:22.845705,2017-01-29,66001,2017.0,2.0,2755,,,
2020-11-13 13:00:22.845705,2017-01-29,68000,2017.0,2.0,8442,,,
2020-11-13 13:00:22.845705,2017-01-29,68001,2017.0,2.0,4741,,,
2020-11-13 13:00:22.845705,2017-01-29,70000,2017.0,2.0,2814,,,
2020-11-13 13:00:22.845705,2017-01-29,70001,2017.0,2.0,923,,,
2020-11-13 13:00:22.845705,2017-01-29,73000,2017.0,2.0,7317,,,
2020-11-13 13:00:22.845705,2017-01-29,73001,2017.0,2.0,4912,,,
2020-11-13 13:00:22.845705,2017-01-29,76000,2017.0,2.0,25067,,,
2020-11-13 13:00:22.845705,2017-01-29,76001,2017.0,2.0,16357,,,
2020-11-13 13:00:22.845705,2017-01-29,81000,2017.0,2.0,688,,,
2020-11-13 13:00:22.845705,2017-01-29,81001,2017.0,2.0,178,,,
2020-11-13 13:00:22.845705,2017-01-29,85000,2017.0,2.0,1066,,,
2020-11-13 13:00:22.845705,2017-01-29,85001,2017.0,2.0,468,,,
2020-11-13 13:00:22.845705,2017-01-29,86000,2017.0,2.0,1438,,,
2020-11-13 13:00:22.845705,2017-01-29,86001,2017.0,2.0,233,,,
2020-11-13 13:00:22.845705,2017-01-29,88000,2017.0,2.0,375,,,
2020-11-13 13:00:22.845705,2017-01-29,88001,2017.0,2.0,312,,,
2020-11-13 13:00:22.845705,2017-01-29,91000,2017.0,2.0,426,,,
2020-11-13 13:00:22.845705,2017-01-29,91001,2017.0,2.0,301,,,
2020-11-13 13:00:22.845705,2017-01-29,94000,2017.0,2.0,108,,,
2020-11-13 13:00:22.845705,2017-01-29,94001,2017.0,2.0,92,,,
2020-11-13 13:00:22.845705,2017-01-29,95000,2017.0,2.0,324,,,
2020-11-13 13:00:22.845705,2017-01-29,95001,2017.0,2.0,244,,,
2020-11-13 13:00:22.845705,2017-01-29,97000,2017.0,2.0,52,,,
2020-11-13 13:00:22.845705,2017-01-29,97001,2017.0,2.0,15,,,
2020-11-13 13:00:22.845705,2017-01-29,99000,2017.0,2.0,171,,,
2020-11-13 13:00:22.845705,2017-01-29,99001,2017.0,2.0,84,,,
2020-11-13 13:00:22.845705,2017-02-26,00000,2017.0,3.0,233639,,,
2020-11-13 13:00:22.845705,2017-02-26,05000,2017.0,3.0,39061,,,
2020-11-13 13:00:22.845705,2017-02-26,05001,2017.0,3.0,22130,,,
2020-11-13 13:00:22.845705,2017-02-26,08000,2017.0,3.0,10741,,,
2020-11-13 13:00:22.845705,2017-02-26,08001,2017.0,3.0,7083,,,
