date,entity,year,month,week,period,value
8/12/2018,COLOMBIA,2018,8,33,9,286
8/19/2018,COLOMBIA,2018,8,34,9,274
8/26/2018,COLOMBIA,2018,8,35,9,285
9/2/2018,COLOMBIA,2018,9,36,9,311
9/9/2018,COLOMBIA,2018,9,37,10,305
9/16/2018,COLOMBIA,2018,9,38,10,296
9/23/2018,COLOMBIA,2018,9,39,10,281
9/30/2018,COLOMBIA,2018,9,40,10,301
10/7/2018,COLOMBIA,2018,10,41,11,266
10/14/2018,COLOMBIA,2018,10,42,11,275
10/21/2018,COLOMBIA,2018,10,43,11,283
10/28/2018,COLOMBIA,2018,10,44,11,287
11/4/2018,COLOMBIA,2018,11,45,12,258
11/11/2018,COLOMBIA,2018,11,46,12,265
11/18/2018,COLOMBIA,2018,11,47,12,316
11/25/2018,COLOMBIA,2018,11,48,12,289
12/2/2018,COLOMBIA,2018,12,49,13,260
12/9/2018,COLOMBIA,2018,12,50,13,272
12/16/2018,COLOMBIA,2018,12,51,13,263
12/23/2018,COLOMBIA,2018,12,52,13,196
12/30/2018,COLOMBIA,2019,1,1,1,227
1/6/2019,COLOMBIA,2019,1,2,1,272
1/13/2019,COLOMBIA,2019,1,3,1,293
1/20/2019,COLOMBIA,2019,1,4,1,336
1/27/2019,COLOMBIA,2019,1,5,2,311
2/3/2019,COLOMBIA,2019,2,6,2,288
2/10/2019,COLOMBIA,2019,2,7,2,329
2/17/2019,COLOMBIA,2019,2,8,2,287
2/24/2019,COLOMBIA,2019,2,9,3,330
3/3/2019,COLOMBIA,2019,3,10,3,276
3/10/2019,COLOMBIA,2019,3,11,3,298
3/17/2019,COLOMBIA,2019,3,12,3,319
3/24/2019,COLOMBIA,2019,3,13,4,263
3/31/2019,COLOMBIA,2019,3,14,4,299
4/7/2019,COLOMBIA,2019,4,15,4,289
4/14/2019,COLOMBIA,2019,4,16,4,203
4/21/2019,COLOMBIA,2019,4,17,5,342
4/28/2019,COLOMBIA,2019,4,18,5,251
5/5/2019,COLOMBIA,2019,5,19,5,291
5/12/2019,COLOMBIA,2019,5,20,5,292
5/19/2019,COLOMBIA,2019,5,21,6,343
5/26/2019,COLOMBIA,2019,5,22,6,283
6/2/2019,COLOMBIA,2019,6,23,6,259
6/9/2019,COLOMBIA,2019,6,24,6,299
6/16/2019,COLOMBIA,2019,6,25,7,278
6/23/2019,COLOMBIA,2019,6,26,7,276
6/30/2019,COLOMBIA,2019,6,27,7,223
7/7/2019,COLOMBIA,2019,7,28,7,322
7/14/2019,COLOMBIA,2019,7,29,8,294
7/21/2019,COLOMBIA,2019,7,30,8,323
7/28/2019,COLOMBIA,2019,7,31,8,314
8/4/2019,COLOMBIA,2019,8,32,8,290
8/11/2019,COLOMBIA,2019,8,33,9,290
8/18/2019,COLOMBIA,2019,8,34,9,266
8/25/2019,COLOMBIA,2019,8,35,9,309
9/1/2019,COLOMBIA,2019,9,36,9,344
9/8/2019,COLOMBIA,2019,9,37,10,324
9/15/2019,COLOMBIA,2019,9,38,10,326
9/22/2019,COLOMBIA,2019,9,39,10,280
9/29/2019,COLOMBIA,2019,9,40,10,278
10/6/2019,COLOMBIA,2019,10,41,11,327
10/13/2019,COLOMBIA,2019,10,42,11,258
10/20/2019,COLOMBIA,2019,10,43,11,282
10/27/2019,COLOMBIA,2019,10,44,11,291
11/3/2019,COLOMBIA,2019,11,45,12,256
11/10/2019,COLOMBIA,2019,11,46,12,279
11/17/2019,COLOMBIA,2019,11,47,12,291
11/24/2019,COLOMBIA,2019,11,48,12,290
12/1/2019,COLOMBIA,2019,12,49,13,248
12/8/2019,COLOMBIA,2019,12,50,13,254
12/15/2019,COLOMBIA,2019,12,51,13,197
