,method,trend,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
86001,SARIMA,n,0.0527,4,2.7568,20.8104,76.9017,81.4213,2.0,2.0,2.0,2.0,0.0,1.0,13.0
23001,SARIMA,n,0.1503,7,7.9297,18.5985,29.2557,26.1871,0.0,0.0,2.0,2.0,1.0,0.0,13.0
41001,SARIMA,n,0.1192,5,5.5453,33.1342,113.061,116.9239,0.0,0.0,0.0,2.0,0.0,2.0,13.0
52001,SARIMA,n,0.0346,6,4.5659,9.6328,109.7367,114.3722,0.0,1.0,2.0,2.0,0.0,1.0,13.0
66001,SARIMA,n,0.287,7,5.4693,11.7655,109.2173,114.3298,2.0,0.0,2.0,1.0,0.0,2.0,13.0
19001,SARIMA,n,0.094,6,5.4254,25.9601,102.7466,107.22,2.0,1.0,0.0,2.0,0.0,2.0,13.0
99001,SARIMA,n,1.2451,4,0.6453,20.9375,0.7723,-3.7347,0.0,1.0,1.0,2.0,1.0,1.0,13.0
94001,SARIMA,n,0.7841,6,1.9525,31.6308,145.793,152.4472,1.0,1.0,2.0,0.0,0.0,0.0,13.0
27001,SARIMA,n,0.5842,4,3.507,57.581,95.943,98.7752,0.0,0.0,1.0,0.0,0.0,2.0,13.0
44001,SARIMA,n,0.0609,6,1.5949,20.1989,73.7864,78.0347,0.0,0.0,1.0,2.0,0.0,2.0,13.0
88001,SARIMA,n,0.0491,4,0.3536,4.1667,59.4586,64.0942,1.0,0.0,1.0,2.0,0.0,1.0,13.0
95001,SARIMA,n,0.4798,4,2.33,34.5725,77.9966,83.661,2.0,0.0,2.0,2.0,0.0,1.0,13.0
47001,SARIMA,n,0.0002,7,2.7724,9.1529,100.5994,105.7119,2.0,0.0,2.0,1.0,0.0,2.0,13.0
70001,SARIMA,n,0.1116,6,2.6167,20.024,22.2497,19.1812,0.0,0.0,2.0,2.0,1.0,0.0,13.0
15001,SARIMA,n,0.2259,5,2.8062,15.4658,174.3279,178.4298,0.0,0.0,0.0,1.0,0.0,1.0,13.0
20001,SARIMA,n,0.0075,7,3.7664,10.2525,96.5448,99.7401,0.0,1.0,1.0,1.0,0.0,2.0,13.0
50001,SARIMA,n,0.0145,5,6.2195,20.439,93.6767,98.1963,2.0,1.0,2.0,1.0,0.0,2.0,13.0
85001,SARIMA,n,0.1567,8,2.1195,13.6967,93.7984,98.0467,2.0,0.0,2.0,1.0,1.0,0.0,13.0
