entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
VALLE DEL CAUCA,2020,1,4,3,0,0,2,2,1,3,1,2,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALLE DEL CAUCA,2020,38,27,34,11,38,29,25,46,36,41,32,21,26,13,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALLE DEL CAUCA,2020,21,23,27,34,34,32,31,38,29,30,24,23,27,15,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAUCA,2020,7,8,6,3,6,5,5,4,5,5,3,3,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASANARE,2020,2,5,7,7,4,8,6,7,5,10,7,6,2,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTUMAYO,2020,5,7,8,5,3,10,5,6,4,7,7,5,6,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ANDRES,2020,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZONAS,2020,0,1,1,0,0,1,1,1,0,0,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAINIA,2020,1,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAVIARE,2020,0,0,1,1,3,3,2,2,1,2,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUPES,2020,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICHADA,2020,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTERIOR,2020,1,2,0,0,1,1,2,3,0,1,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCEDENCIA DESCONOCIDA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ANTIOQUIA,2019,78,79,74,93,83,84,114,106,101,98,123,100,92,119,148,83,114,136,109,121,107,85,108,113,98,90,85,92,117,94,99,106,97,94,102,129,137,110,104,112,93,87,86,115,89,96,119,91,89,114,78,75,
ATLANTICO,2019,13,9,11,16,8,14,12,11,18,11,13,15,18,21,28,17,15,13,19,13,13,15,26,16,16,7,16,11,20,14,16,14,21,15,11,24,23,22,15,14,22,12,32,16,16,15,14,13,20,17,19,20,
ATLANTICO,2019,9,13,10,14,14,13,16,24,23,24,24,25,11,19,13,20,14,19,26,18,28,23,12,14,13,11,5,20,16,23,16,21,20,13,25,25,24,22,15,21,19,14,19,12,20,13,26,21,16,18,12,12,
BOLIVAR,2019,10,5,8,6,13,7,7,5,8,10,9,11,6,11,11,8,6,12,6,15,7,11,7,10,6,2,7,11,8,8,4,8,8,10,4,8,6,12,4,4,6,8,6,8,12,9,6,8,11,3,7,8,
BOLIVAR,2019,3,6,12,14,8,8,5,11,9,8,24,21,10,11,14,7,8,14,8,7,14,11,9,16,9,8,17,10,25,5,13,11,11,8,6,12,12,10,11,6,10,5,9,16,9,8,8,18,12,6,14,8,
BOYACA,2019,12,16,9,11,12,20,21,13,23,21,22,13,15,17,22,13,17,14,16,10,26,25,20,24,18,11,10,18,11,17,13,9,13,12,11,12,21,16,18,14,12,14,15,19,16,18,20,13,18,24,16,10,
CALDAS,2019,21,14,17,18,18,21,25,26,15,24,21,18,26,21,23,18,17,26,14,22,18,17,16,21,15,20,21,25,19,19,23,25,32,30,25,24,31,33,29,34,18,20,29,21,21,26,30,22,28,21,11,21,
CAQUETA,2019,12,3,9,6,5,5,6,4,11,2,9,7,10,3,5,4,3,3,1,1,1,6,7,5,6,6,4,2,4,5,6,6,6,6,7,8,3,4,7,6,9,5,11,2,6,4,5,4,8,10,4,8,
CAUCA,2019,19,10,13,15,15,15,16,18,19,20,17,15,21,15,14,11,13,22,23,23,23,14,19,13,13,15,16,15,21,30,17,16,15,22,14,21,25,24,17,17,12,26,9,10,17,14,13,20,23,18,17,9,
CESAR,2019,12,16,10,14,12,5,10,9,8,9,11,19,14,19,15,12,18,13,13,14,20,11,16,16,8,6,17,13,20,8,11,10,13,5,10,15,13,12,7,11,8,11,11,12,20,19,11,11,9,14,9,13,
CORDOBA,2019,14,13,14,5,24,14,15,12,19,21,34,19,17,24,25,9,27,14,24,17,23,11,21,32,20,25,13,23,19,24,21,20,21,24,20,22,15,14,16,12,17,16,13,24,22,16,23,19,23,15,15,15,
CUNDINAMARCA,2019,28,28,26,32,27,38,36,40,45,66,62,55,45,59,46,30,27,41,31,43,48,34,37,39,33,27,24,41,38,59,44,34,36,47,42,43,46,41,50,33,29,35,43,38,56,29,38,29,36,29,31,30,
CHOCO,2019,0,2,1,0,1,0,2,0,2,7,1,3,1,2,3,1,3,2,4,3,1,7,2,1,10,1,2,2,1,1,1,2,2,4,5,7,2,2,3,0,2,1,1,1,3,2,3,1,3,1,0,1,
HUILA,2019,12,15,15,22,16,20,21,17,19,24,27,26,25,22,16,12,27,17,17,19,12,17,20,16,19,22,15,22,14,15,17,25,27,23,11,18,14,25,12,23,11,26,21,23,17,12,12,12,18,24,7,23,
LA GUAJIRA,2019,6,4,1,2,4,8,8,6,9,5,7,4,3,9,5,5,6,2,3,4,5,4,6,6,11,2,2,3,3,8,5,4,8,3,8,8,7,6,5,5,7,4,7,8,5,10,8,9,7,3,3,5,
MAGDALENA,2019,6,4,11,4,4,6,8,10,3,8,10,10,8,12,5,1,8,12,4,6,6,6,3,11,12,2,6,5,9,4,6,9,5,14,7,4,6,5,4,5,8,3,10,4,14,5,7,7,9,8,6,13,
MAGDALENA,2019,5,6,5,0,3,5,5,10,2,6,6,3,5,14,9,5,3,4,8,1,2,2,2,5,7,3,3,2,3,10,4,5,2,3,6,3,5,9,6,0,5,0,6,6,9,6,5,4,3,4,5,2,
META,2019,9,16,11,10,15,17,18,22,22,18,20,21,17,15,18,11,22,7,14,13,10,12,11,16,16,15,7,16,10,12,12,14,13,11,13,17,16,8,11,14,16,22,25,15,18,11,14,10,16,16,7,10,
NARIÑO,2019,23,28,15,20,20,27,17,36,31,23,30,22,22,36,34,26,24,28,27,29,38,25,27,27,25,28,27,27,23,32,19,35,25,26,24,33,38,31,35,18,20,25,36,38,27,26,22,17,30,19,28,14,
NORTE SANTANDER,2019,14,8,4,17,16,19,22,11,16,20,22,14,17,22,21,21,18,27,12,14,19,12,24,27,15,16,10,23,25,19,25,15,20,13,12,20,24,19,23,26,14,19,18,24,16,22,20,18,19,13,20,21,
QUINDIO,2019,5,4,7,17,10,5,8,13,13,15,17,15,16,10,14,11,5,19,17,15,11,17,12,13,11,12,10,14,15,13,8,13,13,17,15,12,13,9,13,10,14,11,15,15,19,13,10,7,17,13,19,10,
RISARALDA,2019,11,15,27,22,18,15,19,16,20,28,33,38,29,41,40,19,34,31,30,21,33,23,31,20,26,20,19,26,26,26,25,15,20,20,28,37,24,26,27,29,22,18,23,20,18,32,28,19,21,23,24,24,
SANTANDER,2019,20,18,18,17,12,26,23,16,21,31,29,25,24,22,25,16,25,16,24,31,21,16,27,30,30,22,15,31,29,21,22,21,18,4,38,25,25,19,29,21,23,32,24,19,29,23,24,12,22,21,13,9,
SUCRE,2019,8,10,8,7,8,11,7,7,10,4,16,9,10,12,13,7,9,5,14,5,7,9,10,9,8,9,8,7,5,5,6,11,6,6,6,5,10,10,4,4,9,14,5,0,9,7,7,10,10,5,7,6,
TOLIMA,2019,12,19,13,17,14,22,29,21,30,42,49,39,25,31,32,25,30,22,17,34,33,21,21,40,28,27,24,22,25,28,31,38,34,54,27,40,29,32,27,42,33,31,22,27,39,29,28,38,21,21,18,23,
VALLE DEL CAUCA,2019,0,1,2,2,0,1,0,1,0,1,0,1,0,2,1,1,0,1,2,0,1,1,0,1,1,0,1,3,0,0,0,1,2,4,3,3,3,3,2,1,2,2,1,2,2,0,2,2,0,0,1,0,
VALLE DEL CAUCA,2019,53,46,47,36,46,40,68,51,57,61,50,66,48,67,58,53,65,54,63,59,54,51,52,49,67,73,74,56,44,61,61,69,61,65,53,74,73,84,68,79,52,67,76,81,80,66,60,56,63,64,42,62,
ARAUCA,2019,2,5,6,4,3,2,3,9,5,7,4,6,7,3,9,8,5,4,1,4,8,2,3,1,4,1,5,2,3,4,5,2,0,8,1,4,3,2,3,4,1,1,3,4,4,5,6,3,5,4,5,2,
CASANARE,2019,9,3,2,6,1,7,4,3,15,5,5,4,7,11,10,3,4,9,5,5,4,3,6,6,3,8,4,6,6,5,7,4,7,6,3,6,9,6,5,9,5,7,8,10,4,4,6,8,5,6,5,7,
PUTUMAYO,2019,9,5,5,5,3,13,13,3,11,8,5,1,7,10,1,4,10,7,5,5,9,9,9,11,9,5,5,9,6,5,6,6,2,8,9,12,3,7,12,8,7,7,11,12,8,10,10,10,8,9,8,8,
SAN ANDRES,2019,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,
AMAZONAS,2019,0,1,0,3,1,3,2,1,0,0,1,0,1,1,1,0,2,0,1,1,1,2,0,1,2,0,1,1,0,0,5,1,4,1,0,2,4,1,1,0,0,1,2,2,1,2,2,1,3,1,3,0,
GUAINIA,2019,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,2,1,0,1,0,2,1,1,3,0,0,0,0,1,0,1,0,0,1,0,0,
GUAVIARE,2019,1,0,0,1,0,0,0,1,1,0,1,0,3,2,2,0,1,0,0,2,0,2,0,1,1,1,1,2,1,1,1,2,1,0,4,0,3,0,1,3,2,1,2,1,2,0,2,3,2,0,1,0,
VAUPES,2019,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,2,2,1,5,1,1,3,0,4,1,3,5,1,4,0,1,1,1,5,1,2,1,0,0,0,0,
VICHADA,2019,1,0,2,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,
PROCEDENCIA DESCONOCIDA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EXTERIOR,2018,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,1,0,2,0,1,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,2,3,1,0,0,3,2,1,0,0,0,1,0,0,2,2,1,
ANTIOQUIA,2018,60,77,74,68,91,96,100,94,101,135,104,134,94,110,105,81,100,100,122,80,90,94,107,100,81,90,79,101,101,107,103,106,94,99,118,102,97,95,86,103,90,103,83,96,105,114,117,99,90,76,72,85,
ATLANTICO,2018,11,22,37,19,20,22,27,20,21,35,28,36,27,24,25,32,36,32,30,17,35,33,22,37,28,32,29,39,41,30,35,34,40,38,31,34,29,43,29,21,27,39,24,47,34,31,28,41,35,29,24,21,
BOLIVAR,2018,8,14,15,16,10,14,23,20,37,23,29,34,17,21,29,34,17,25,15,19,11,16,23,28,26,21,16,20,30,25,21,22,25,32,19,26,20,23,23,10,18,18,18,15,9,10,22,17,13,12,18,13,
BOYACA,2018,9,7,7,10,10,12,15,10,13,12,11,18,17,9,13,11,14,14,15,11,23,13,7,10,16,16,12,14,18,15,14,14,18,15,14,20,10,16,11,8,21,19,13,14,15,9,16,18,11,20,10,7,
CALDAS,2018,22,16,19,9,18,15,18,22,16,23,15,14,19,20,21,14,18,26,21,18,22,20,31,20,21,14,20,17,22,12,19,16,22,19,19,22,27,25,18,20,20,24,28,27,18,17,12,18,17,26,15,15,
