entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13
CAUCA,2015,3711,2734,3395,3665,3942,3602,4296,4489,4224,3813,4762,3815,4165
CESAR,2015,1904,2047,2287,2007,2214,2194,2362,2153,2149,2344,2034,2172,2429
CHOCO,2015,489,593,558,813,578,565,717,638,758,610,498,568,596
CORDOBA,2015,3158,3245,3271,3688,3380,3272,3502,3547,3403,3285,3293,3469,3618
CUNDINAMARCA,2015,12450,10631,12152,11328,11660,12322,11914,11309,13206,13780,12667,11627,12504
FLORENCIA,2015,1061,1072,1253,1716,1258,1394,1787,1055,1558,1362,1285,1050,1260
GUAINIA,2015,4,5,9,9,13,13,7,27,5,2,12,,18
GUAVIARE,2015,87,95,92,108,105,151,174,133,90,130,114,66,121
HUILA,2015,2450,2504,2914,2919,2739,2850,2736,2666,3036,2766,2504,2734,3058
IBAGUE,2015,2909,2816,4342,3526,3206,3825,3727,3488,3524,3296,3077,3495,2815
PUERTO INIRIDA,2015,60,88,101,100,119,99,95,166,42,245,117,77,109
LA GUAJIRA,2015,2755,2606,2883,3078,2836,3015,3049,2863,3060,3098,2943,2581,3443
LETICIA,2015,233,513,476,255,388,587,341,357,413,258,283,531,446
MAGDALENA,2015,4088,3872,3310,3912,3437,3394,4418,4123,3858,3961,4135,3502,3778
MANIZALES,2015,2465,2267,2330,2153,2573,2339,2495,2250,2309,2700,2315,1959,2324
MEDELLIN,2015,15969,19070,13559,16197,21458,14957,16759,14510,20349,16880,16732,17784,12268
META,2015,1365,1208,1652,1545,1589,1367,1583,1358,1615,1619,1638,1431,1503
MITU,2015,22,78,62,30,59,39,48,88,72,61,46,30,67
MOCOA,2015,339,190,263,240,358,472,307,415,342,175,252,432,174
MONTERIA,2015,1318,1380,1573,1551,1645,1592,1526,1433,1682,1565,1608,1677,1653
NARIÑO,2015,5074,3463,5586,5294,4871,4879,5316,5242,5006,5231,5166,4939,4792
NEIVA,2015,2016,1907,1860,2201,2052,1963,2302,2401,2036,2020,2173,1789,2091
NORTE DE SANTANDER,2015,1331,2090,1851,1987,1921,1876,1988,1940,1980,2080,1968,1761,1962
PASTO,2015,3507,4558,3512,3490,3085,3163,3618,5332,3179,3362,6433,3310,3410
PEREIRA,2015,2241,2197,4090,3648,2393,2824,2588,2722,3140,2578,2343,2762,3753
POPAYAN,2015,826,828,836,938,748,1012,974,880,1050,836,994,896,1005
PUERTO CARREÑO,2015,85,84,83,134,96,111,81,111,98,96,45,106,109
PUTUMAYO,2015,681,944,1423,781,1114,1378,797,1305,1120,1080,1084,1125,1359
QUIBDO,2015,398,667,412,692,501,434,847,410,659,477,666,567,512
QUINDIO,2015,1070,1307,1587,1534,1297,1259,1749,1295,1236,1534,1357,1287,1390
RIOHACHA,2015,1540,1676,1446,2608,2377,1716,1871,2758,1127,1864,2119,1637,2327
RISARALDA,2015,1451,1519,2031,1433,1879,1927,1887,1569,1962,1564,1779,1622,1710
SAN ANDRES,2015,18,19,19,3,25,14,18,23,4,12,22,12,12
SAN ANDRES CAP,2015,381,309,342,263,298,310,237,261,330,302,292,286,304
CUCUTA,2015,2334,4447,3693,3719,4227,3546,4498,3194,3951,4537,4157,3420,4073
SAN JOSE DEL GUAVIARE,2015,199,180,232,144,200,227,194,325,197,243,122,234,254
SANTA MARTA,2015,918,732,883,817,853,871,958,816,900,1079,822,856,894
SANTANDER,2015,2490,4011,4019,3257,3350,5153,3624,3582,4527,3746,4029,3518,3901
SINCELEJO,2015,956,1514,1749,1024,1568,1600,1254,1226,1250,1544,1348,1274,1572
SUCRE,2015,1465,1934,1886,2061,1679,2071,1834,1940,1786,1909,1706,1825,1671
TOLIMA,2015,2147,2568,3274,2252,2579,3876,2755,2565,2725,3288,3104,2649,2936
TUNJA,2015,1503,1299,1113,1202,998,963,1514,1272,1227,1332,1063,966,1356
VALLE DEL CAUCA,2015,7192,8143,9607,7941,8211,10473,7553,10045,9210,9172,8088,8819,8705
VALLEDUPAR,2015,1916,2174,1916,3521,1932,1649,2896,2280,2096,2978,1724,1987,1660
VAUPES,2015,18,24,33,21,14,25,10,27,22,26,15,25,29
VICHADA,2015,103,100,97,80,95,106,56,165,93,85,159,104,135
VILLAVICENCIO,2015,3263,2711,3516,4216,3380,3470,4479,3642,3396,4331,3422,3377,3420
YOPAL,2015,374,436,574,456,498,614,415,613,501,502,504,474,518
AMAZONAS,2016,88,84,153,122,105,138,81,150,68,114,129,121,152
ANTIOQUIA,2016,18872,15591,18610,14604,18544,14904,16532,18749,16871,17793,20305,13815,16965
ARAUCA,2016,469,561,683,626,587,602,628,663,583,717,562,516,699
ARAUCA CAP,2016,175,155,193,109,154,158,147,175,146,168,180,139,172
ARMENIA,2016,1599,2135,2382,2433,1788,2165,2031,2104,2428,1991,1743,2216,1825
ATLANTICO,2016,5189,4441,4588,4666,3938,4034,4241,4289,4168,4569,4081,4789,3276
BARRANQUILLA,2016,7637,7649,6481,6080,6331,6106,7442,6388,7370,7310,6617,7235,5164
BOGOTA DC,2016,70106,59309,69391,63118,67496,61696,65987,61275,71686,64743,56629,66971,60804
BOLIVAR,2016,3245,3403,2689,3612,3404,2919,3131,3596,3311,2816,3477,3739,2684
BOYACA,2016,4909,3977,3216,4242,4202,4386,3267,3538,4985,3465,3764,3712,3562
BUCARAMANGA,2016,2778,3888,5606,3862,3968,3443,4329,3841,3871,4289,3438,2833,4751
CALDAS,2016,1167,1119,994,1458,1046,1275,1285,1025,1330,1273,1027,1279,1016
CALI,2016,22711,27363,25613,24104,29121,22359,26073,27383,22611,27941,23423,18161,21806
CAQUETA,2016,816,622,598,816,711,769,665,761,676,655,564,607,708
CARTAGENA,2016,5344,5191,4373,5538,4930,5119,4939,4888,4988,5046,4131,4901,4564
CASANARE,2016,663,770,943,710,841,939,880,769,747,955,671,729,956
CAUCA,2016,5113,6044,6137,4856,5665,6826,4364,6805,7250,4471,5435,6816,4643
CESAR,2016,1815,2576,1612,2488,2081,1956,2053,2478,2080,1986,2188,2329,1959
CHOCO,2016,440,548,467,611,368,454,544,562,675,457,414,575,550
CORDOBA,2016,3728,4654,3714,4105,3712,3865,3761,3720,4211,3772,3626,4271,3447
CUNDINAMARCA,2016,9988,14693,11432,14803,12505,12606,13654,11623,13340,13438,10056,13452,11832
FLORENCIA,2016,1038,1294,1292,1459,1144,1113,1202,1081,1294,1132,1132,1273,1270
GUAINIA,2016,7,14,,7,6,10,7,6,4,6,17,6,3
GUAVIARE,2016,104,74,95,98,83,90,87,106,89,62,41,130,72
HUILA,2016,1833,3341,2198,3264,2700,2631,2651,2550,2615,2785,2204,2878,2699
IBAGUE,2016,2455,3024,3067,3454,3301,3149,3369,2490,2538,4259,2722,2638,3760
PUERTO INIRIDA,2016,64,97,91,111,79,109,91,80,109,115,96,99,85
LA GUAJIRA,2016,2881,4109,3512,3229,4753,3535,2616,4762,4027,2854,4097,3858,2571
LETICIA,2016,321,459,335,295,348,377,325,411,239,325,212,276,351
MAGDALENA,2016,3336,4547,3572,4385,4250,4253,3349,3958,4478,3779,4024,4343,3403
MANIZALES,2016,3035,2637,2612,3325,2798,2579,3190,2305,3149,3177,2254,3113,2432
MEDELLIN,2016,20122,16490,22317,15557,28218,16316,20073,22395,16724,20902,23584,14629,20096
META,2016,1072,1484,1550,1603,1252,1477,1543,1216,1618,1735,1210,1471,1547
MITU,2016,29,91,61,49,102,146,80,58,126,69,52,32,119
MOCOA,2016,225,170,312,166,279,198,330,326,148,294,220,153,194
MONTERIA,2016,1300,1660,1273,1708,1366,1344,1597,1413,1500,1232,1781,1528,1232
NARIÑO,2016,4031,5223,4955,5862,4822,4241,5931,4977,5310,4741,4924,5514,4934
NEIVA,2016,1346,2869,2041,2552,2124,2413,2274,2211,2790,2088,2250,2250,2328
NORTE DE SANTANDER,2016,1747,2005,2150,2257,1754,2027,2314,1786,2075,2153,1593,2049,2249
PASTO,2016,2384,2803,2365,3667,2489,2793,2883,2555,2959,2963,3102,2824,2650
PEREIRA,2016,3646,3647,4421,4711,3524,3839,4845,4376,4450,3981,3904,4481,2856
POPAYAN,2016,1184,1512,1262,1326,1197,1165,1084,1160,1155,1212,1001,1253,927
PUERTO CARREÑO,2016,82,75,145,34,173,154,41,179,74,107,101,104,98
PUTUMAYO,2016,863,1238,1107,889,1113,971,1425,1083,812,1519,943,890,1209
QUIBDO,2016,267,413,279,448,271,354,344,299,627,316,413,477,322
QUINDIO,2016,1043,1318,1372,2016,879,1387,1935,1275,1347,1623,1016,1360,1457
RIOHACHA,2016,1092,1653,1367,1514,1404,1896,901,1208,1127,1479,1277,1975,1261
RISARALDA,2016,1427,1715,1730,2098,1416,1608,2061,1603,1848,1745,1553,1892,1633
SAN ANDRES,2016,1,37,26,7,31,34,15,19,32,3,13,29,32
SAN ANDRES CAP,2016,323,378,276,222,289,321,373,274,227,313,400,326,309
CUCUTA,2016,3160,3580,3463,3696,3666,3382,3730,3460,4027,4207,3066,3602,3718
SAN JOSE DEL GUAVIARE,2016,261,260,285,162,306,266,171,303,299,249,231,259,239
SANTA MARTA,2016,759,941,1121,1150,1047,1041,925,1241,1066,896,974,977,935
SANTANDER,2016,2988,3493,4103,3724,3495,3899,3977,3287,3360,4076,3586,3334,4607
SINCELEJO,2016,1325,1331,1389,1471,1618,1086,1582,1487,1374,1609,1348,1230,1609
SUCRE,2016,1805,2648,2559,2453,2163,2350,2790,2938,2129,2842,2751,2083,3017
TOLIMA,2016,2058,2942,2708,2690,2473,2473,3126,2073,2033,3178,2357,2007,2910
TUNJA,2016,1075,1066,983,1401,1044,1265,923,915,1269,982,1168,1053,1111
VALLE DEL CAUCA,2016,7571,10060,10087,9741,9925,10125,13381,9928,9060,12174,8708,8403,10591
VALLEDUPAR,2016,1715,3657,1648,2490,2926,3231,1944,2811,2251,2642,3812,2295,1913
VAUPES,2016,84,10,41,37,12,27,40,49,10,42,12,33,51
VICHADA,2016,104,102,128,102,78,125,97,134,133,117,73,103,108
VILLAVICENCIO,2016,3054,3063,5002,4481,3504,4732,4057,3600,4191,4296,2933,4252,3798
YOPAL,2016,466,531,490,490,500,512,549,550,372,614,438,513,618
AMAZONAS,2017,134,125,139,87,132,148,100,207,113,109,128,143,99
ANTIOQUIA,2017,13567,17963,16931,14360,17237,14227,16820,14147,16558,14222,18320,12928,12767
ARAUCA,2017,546,510,491,607,513,504,479,572,533,496,619,536,502
ARAUCA CAP,2017,207,178,161,157,173,183,146,176,156,202,181,152,188
ARMENIA,2017,1708,1994,1888,1970,2170,2069,2202,1873,2173,2165,1930,2142,1902
ATLANTICO,2017,4529,3844,3658,4605,5110,3870,3059,4254,4646,4663,3659,4505,3341
BARRANQUILLA,2017,7082,6364,7083,7044,7675,6048,5792,7015,5615,8234,5268,6348,4614
BOGOTA DC,2017,55576,73408,56659,64623,64782,76406,62474,67985,69400,53260,78534,53830,52338
BOLIVAR,2017,2674,2978,2737,2757,2996,3123,2289,2861,3322,2823,2919,3264,1889
BOYACA,2017,4210,3452,3868,3775,3877,3122,3657,3837,3990,3256,3924,3204,3267
BUCARAMANGA,2017,3694,4741,4130,2491,4342,4231,3619,3636,3426,3894,3812,4249,2983
CALDAS,2017,1118,937,967,954,971,1065,1002,891,1091,1229,985,1000,1171
CALI,2017,14798,16357,16271,14997,16746,16304,14225,16380,17229,15193,16122,16265,12290
CAQUETA,2017,951,950,793,675,637,819,749,815,801,889,739,934,672
CARTAGENA,2017,4066,3516,3517,4125,3250,3844,3788,3434,3625,4318,4267,3293,3316
CASANARE,2017,611,598,579,563,617,569,578,612,485,548,557,584,563
CAUCA,2017,3615,3392,4420,3494,3706,4295,3582,3762,3719,4071,3847,3940,4545
CESAR,2017,2063,2158,1822,2139,1888,2309,2132,1968,2183,2150,1907,1926,1955
CHOCO,2017,261,448,423,257,426,446,364,514,404,270,402,694,218
CORDOBA,2017,3365,3194,3299,2958,3549,3074,3262,3349,3238,3040,3494,3410,3096
CUNDINAMARCA,2017,11197,11712,11109,11277,12119,11698,11799,11315,11155,12651,11340,11582,10999
FLORENCIA,2017,1432,1418,1080,1004,1320,1138,1098,1039,1750,1689,1564,1702,1793
GUAINIA,2017,8,16,5,2,12,5,7,15,6,5,20,9,5
GUAVIARE,2017,69,80,92,87,74,67,70,80,75,77,80,76,63
HUILA,2017,2642,3019,2914,2538,2799,2989,2522,2716,3054,2740,2545,3007,2922
IBAGUE,2017,4499,4912,4495,4783,4451,4375,5010,4248,4695,5049,4360,5030,4486
PUERTO INIRIDA,2017,119,92,95,120,144,100,134,127,115,117,117,91,123
LA GUAJIRA,2017,3331,2605,3106,3233,2911,2802,3529,3044,3354,3672,3535,3385,2972
LETICIA,2017,269,301,314,309,323,281,286,322,406,295,304,291,266
MAGDALENA,2017,3675,3858,3560,3941,3631,3464,3657,3808,3580,4949,3717,4237,3915
MANIZALES,2017,2075,2237,2168,2143,2266,2155,2362,1871,2242,2365,2334,2121,2043
MEDELLIN,2017,16169,21914,22130,21974,20280,18241,22550,16430,22789,19411,22995,15570,19100
META,2017,1218,1258,1333,1157,1211,1261,1193,1247,1019,1127,1139,1353,1191
MITU,2017,84,15,53,35,37,64,55,51,90,75,16,81,64
MOCOA,2017,253,233,193,213,298,231,251,235,212,221,239,202,225
MONTERIA,2017,1444,1469,1518,1531,1378,1444,1281,1323,1530,1355,1358,1480,1326
NARIÑO,2017,3874,4047,4160,3908,4016,4114,3921,4521,4339,4252,3674,4073,4287
NEIVA,2017,1966,2135,2437,2139,2080,2246,2010,2126,2326,2125,1959,2307,2230
NORTE DE SANTANDER,2017,1989,1870,2051,1935,2090,2072,1933,1899,1958,2143,2018,2109,2161
PASTO,2017,3644,3446,2381,2734,3675,2631,3060,3237,3291,4014,3608,3042,2770
PEREIRA,2017,2636,2755,2493,2630,2925,2974,2184,2686,2748,2554,2331,2803,2255
POPAYAN,2017,1012,1076,1081,1152,1131,1021,1055,1235,1172,1135,945,1239,1104
PUERTO CARREÑO,2017,50,84,89,79,84,74,62,84,53,47,90,146,83
PUTUMAYO,2017,1019,1205,925,984,1124,1001,983,1046,1225,917,1042,1123,983
QUIBDO,2017,385,512,517,407,460,349,589,420,518,391,476,381,471
QUINDIO,2017,1094,1178,1184,995,1244,1168,952,1174,1227,1043,1077,1115,1019
RIOHACHA,2017,1639,1141,1453,1667,1576,1367,1491,1216,1572,1449,1444,1484,1618
RISARALDA,2017,1557,1607,1295,1286,1634,1410,1606,1460,1374,1367,1514,1536,1332
SAN ANDRES,2017,10,63,12,10,12,9,21,11,13,10,26,9,10
SAN ANDRES CAP,2017,304,312,408,307,378,358,345,360,349,334,279,330,382
CUCUTA,2017,3412,4197,3411,3921,3709,3656,4245,3828,3455,4152,3573,3909,3525
SAN JOSE DEL GUAVIARE,2017,171,244,211,212,225,226,214,245,248,270,175,224,227
SANTA MARTA,2017,1389,1441,1356,1654,1132,1319,1638,1186,1233,1634,1145,1337,1304
SANTANDER,2017,3465,3701,3891,2943,3397,3266,3658,3436,3413,3628,3403,3481,3161
SINCELEJO,2017,900,923,852,895,800,911,903,792,869,942,918,843,893
SUCRE,2017,2015,1891,1960,2085,2338,2623,1806,1830,2503,2198,1646,2058,2033
TOLIMA,2017,2292,2405,2478,2314,2434,2404,2200,2439,2610,2501,2330,2437,2396
TUNJA,2017,778,983,816,801,940,919,772,1000,907,770,988,859,801
VALLE DEL CAUCA,2017,7912,8710,8465,8045,8232,8478,7870,8372,8153,8030,8638,8565,7243
VALLEDUPAR,2017,2806,2839,2983,2400,3062,2315,2259,2777,2914,2939,1856,3084,2568
VAUPES,2017,28,37,12,17,38,19,46,53,20,30,44,13,45
VICHADA,2017,76,87,81,72,91,85,82,94,142,77,81,85,95
VILLAVICENCIO,2017,2070,3019,2279,2374,3676,2505,2546,2532,2147,2437,2419,2601,2597
YOPAL,2017,363,468,357,416,451,382,445,401,382,424,373,457,400
AMAZONAS,2018,2185,,,,,,,,,,,,
ANTIOQUIA,2018,163551,48836,,,,,2,,,,,10,13
ARAUCA,2018,,7304,,,,,,,,,,,1
ARAUCA CAP,2018,,2611,,,,,,,,,,,
ARMENIA,2018,,,,1,,,,,,,25378,,
ATLANTICO,2018,,55362,21,,,,,,,,,,2
BARRANQUILLA,2018,,22123,80556,,,,,,,,,,
BOGOTA DC,2018,15,,426602,433917,,,1,12,,,,,46
BOLIVAR,2018,,,,21730,17252,,,,,,,,1
BOYACA,2018,,,,,46393,,,,,,,,34
BUCARAMANGA,2018,,,,,,,,,,,29457,22127,
CALDAS,2018,1,,,,14454,,,,,,,,13
CALI,2018,,,,,,,,,,,,,186791
CAQUETA,2018,,,,,1327,4915,,,,,,,
CARTAGENA,2018,,,,479,490,58462,6,,,,,,15
CASANARE,2018,,,,,1,9531,,,,,,,
CAUCA,2018,,,,,,42812,7099,,1,,,,
CESAR,2018,,,,1,,,30675,,,,,,
CHOCO,2018,,,,,,,7413,,,,,,
CORDOBA,2018,,,,,,,46187,,,,,,
CUNDINAMARCA,2018,,,1,6,,,32695,135577,,,,,4
FLORENCIA,2018,,,,,3224,14241,,,,,,,
GUAINIA,2018,,,,,,,,344,,,,,
GUAVIARE,2018,,,,,,,,,1215,,,,
HUILA,2018,,,,,,,,,34294,,,,
IBAGUE,2018,,,,,,,,,,,,56490,2854
PUERTO INIRIDA,2018,,,,,,,,1891,,,,,
LA GUAJIRA,2018,,,,,,,,25298,16208,,,,
LETICIA,2018,3778,,,,,,,,,,,,
MAGDALENA,2018,3,,,,,,,,50389,,,,5
MANIZALES,2018,,,,,31483,,,,,,,,
MEDELLIN,2018,158548,125585,,,1,,,,,,,,
META,2018,7,,,,,,,,5090,15076,,,
MITU,2018,,,,,,,,,,,,,757
MOCOA,2018,,,,,,,,,,,3865,,
MONTERIA,2018,,,,,,,19354,,,,,,
NARIÑO,2018,3,,,,,,,,,47699,,,13
NEIVA,2018,,,,,,1,,,30639,,,,
NORTE DE SANTANDER,2018,,,,1,,,,,,20731,8952,,
PASTO,2018,,,,,,,,,,58851,,,
PEREIRA,2018,,,,,,,,,,,42181,,
POPAYAN,2018,,,,,,14390,2094,,,,,,
PUERTO CARREÑO,2018,,,,,,,,,,,,,963
PUTUMAYO,2018,,,,,,,,,,,14301,,
QUIBDO,2018,,,,,,,6251,,,,,,
QUINDIO,2018,,,,,,,,,,,12264,,
RIOHACHA,2018,,,,,,,,15433,9557,,,,
RISARALDA,2018,,,,,,,,,,,21809,,
SAN ANDRES,2018,,,,,,,,,,,114,,
SAN ANDRES CAP,2018,,,,,,,,,,,4539,,
CUCUTA,2018,,,,,,,,,,42542,16752,,
SAN JOSE DEL GUAVIARE,2018,,,,,,,,,3163,,,,
SANTA MARTA,2018,,,,,,,,,135,,,23944,
SANTANDER,2018,13,1,4,10,4,,2,2,,12,28498,21088,3
SINCELEJO,2018,,,,,,,,,,,,12393,
SUCRE,2018,,,,,,,,,,,,26964,
TOLIMA,2018,,,,,,,,,,,3,32288,1597
TUNJA,2018,,,,,14153,,,,,,,,
VALLE DEL CAUCA,2018,,,,,7060,2,3,,,,,,90596
VALLEDUPAR,2018,,,,,,,27413,,,,,,
VAUPES,2018,,,,,,,,,,,,,303
VICHADA,2018,,,,,,,,,,,,,1222
VILLAVICENCIO,2018,,,,,,,,,10666,26748,,,
YOPAL,2018,,,,,,5266,,,,,,,
AMAZONAS,2019,168,260,222,197,125,96,149,147,216,196,140,149,74
ANTIOQUIA,2019,17540,20046,19544,18102,16520,15412,15954,18820,16587,17722,15907,16370,14344
ARAUCA,2019,567,659,648,613,742,839,744,689,636,527,513,566,514
ARAUCA CAP,2019,320,387,310,335,390,490,427,421,352,224,206,248,238
ARMENIA,2019,2331,3381,3342,2110,1614,1464,1309,1672,1841,1630,1315,1204,1156
ATLANTICO,2019,4294,4945,4761,4579,5260,6384,5570,3676,3350,4443,3829,5286,3256
BARRANQUILLA,2019,7494,9077,9144,9559,9498,9065,8027,6542,5471,5486,6037,8317,6150
BOGOTA DC,2019,83133,108971,99733,83982,65627,58997,52704,62938,67748,78329,58660,49917,61073
BOLIVAR,2019,2948,3155,3287,3331,3994,4219,3689,2813,2596,2316,2612,2701,2393
BOYACA,2019,3983,4494,5665,4102,4496,3661,3474,3575,3148,3466,3319,3136,3255
BUCARAMANGA,2019,6340,6285,6742,5890,5741,4754,5045,4755,4244,3796,3988,4299,4248
CALDAS,2019,1305,1551,1642,1308,1154,1041,1251,1219,1144,1242,1080,923,905
CALI,2019,17626,17516,15109,15462,13848,13131,11915,11190,14359,14113,12009,12162,49971
CAQUETA,2019,777,711,651,493,419,459,371,404,457,546,449,466,419
CARTAGENA,2019,4454,4664,4679,4616,4665,5746,5474,4717,4286,4699,4028,4229,4550
CASANARE,2019,830,847,881,800,1017,1079,873,852,712,800,797,786,587
CAUCA,2019,3461,3714,4095,3457,3625,3951,3316,3488,3825,3701,3658,3667,3153
CESAR,2019,2922,2714,2310,2317,2991,3078,2909,1787,1737,1781,1744,1815,1841
CHOCO,2019,493,661,779,632,608,554,514,506,475,434,381,392,632
CORDOBA,2019,3311,3747,4106,4393,4493,4852,4228,3984,3033,2834,2754,2917,2440
CUNDINAMARCA,2019,16399,20250,19395,16890,13706,12131,11123,12746,13387,14551,13445,12290,11040
FLORENCIA,2019,1591,2340,1845,1014,1431,1021,1016,1606,1139,1625,1126,1121,999
GUAINIA,2019,17,13,57,64,60,50,11,59,24,43,25,16,28
GUAVIARE,2019,91,84,120,89,63,82,70,71,68,79,72,62,44
HUILA,2019,4034,3329,2854,2467,2275,2417,2230,2276,2033,2138,2704,2846,2639
IBAGUE,2019,4758,5673,4655,3768,3100,2979,2771,2469,2810,2978,2747,2779,2789
PUERTO INIRIDA,2019,116,133,165,160,210,190,124,91,51,102,116,77,70
LA GUAJIRA,2019,2684,2640,2841,2907,2559,3010,3319,2779,2583,2952,3425,3616,2614
LETICIA,2019,217,244,318,224,220,263,264,183,178,264,196,175,165
MAGDALENA,2019,3618,4156,3749,3441,3997,4883,4434,3808,3412,2983,2894,3084,2931
MANIZALES,2019,2412,2996,4491,2789,2409,1551,1568,1723,2031,2164,1748,1504,1239
MEDELLIN,2019,21285,22752,27397,22534,21752,20602,22569,23180,24292,24783,19977,22955,20102
META,2019,2494,2214,1923,2028,1975,1970,1610,1486,1607,1615,1481,1425,1402
MITU,2019,51,51,60,68,50,59,23,58,46,73,72,26,20
MOCOA,2019,293,236,199,220,197,200,272,261,501,271,250,205,159
MONTERIA,2019,1011,1272,1471,1457,1472,1608,1921,1423,1080,1088,759,1121,1006
NARIÑO,2019,3577,3590,3786,3600,3779,3876,3820,3928,4617,4231,3695,3257,3268
NEIVA,2019,3302,2950,2607,2290,2428,2745,2502,2740,2676,2557,1892,1962,2041
NORTE DE SANTANDER,2019,3060,3008,2986,2720,3165,2920,2272,2454,2292,2070,2137,2372,2066
PASTO,2019,3694,5569,5260,4562,4802,4497,3864,4147,4467,4521,4469,4083,3260
PEREIRA,2019,3746,4356,4998,3921,3360,2576,2306,3013,2759,2830,2202,2261,2279
POPAYAN,2019,1265,1430,1150,1039,774,895,768,934,1061,1277,1486,1223,1217
PUERTO CARREÑO,2019,7,12,32,41,23,68,126,52,72,75,55,43,76
PUTUMAYO,2019,1183,1255,1128,917,863,906,834,1035,1220,1228,941,778,687
QUIBDO,2019,415,480,414,367,903,577,438,293,366,395,365,356,307
QUINDIO,2019,1205,1340,1530,990,916,722,867,989,1110,1196,903,836,724
RIOHACHA,2019,1715,1641,1675,1533,1641,1984,2159,1595,1709,1837,1800,1819,1539
RISARALDA,2019,2056,2154,2361,2040,1735,1496,1326,1566,1631,1969,1497,1507,1510
SAN ANDRES,2019,7,10,8,10,15,22,18,15,31,15,28,27,14
SAN ANDRES CAP,2019,316,445,418,232,267,314,321,272,216,254,290,271,268
CUCUTA,2019,7121,5556,5220,4491,4870,4852,4604,4619,4497,4721,4237,4339,3913
SAN JOSE DEL GUAVIARE,2019,476,521,558,309,289,323,218,322,273,276,281,206,177
SANTA MARTA,2019,1435,1376,1143,1324,1283,1569,1814,1480,1216,1389,1532,1224,1311
SANTANDER,2019,5952,6368,6700,5532,5292,4588,4415,4252,3856,4345,4386,4708,3592
SINCELEJO,2019,670,686,904,993,1160,1760,1661,989,838,799,999,1070,790
SUCRE,2019,2198,2018,2472,2573,2386,3951,3457,2782,2566,2233,2094,2346,2065
TOLIMA,2019,3481,3879,3123,2831,2271,2203,2081,2171,2242,2633,2214,2379,1971
TUNJA,2019,981,1558,1429,1157,925,855,769,738,885,909,797,905,749
VALLE DEL CAUCA,2019,8640,9496,8436,8192,7780,7329,7874,7077,7330,7437,6788,6350,6188
VALLEDUPAR,2019,3058,2802,2907,2168,3213,2092,2282,1129,638,800,823,745,648
VAUPES,2019,4,13,22,84,33,65,55,85,53,38,44,67,18
VICHADA,2019,48,77,92,51,88,78,80,59,91,75,52,53,24
VILLAVICENCIO,2019,4139,4988,4496,7462,5207,4935,2827,3094,3191,3283,2713,2571,2601
YOPAL,2019,437,579,463,537,598,661,581,461,464,400,432,423,307
AMAZONAS,2020,114,115,122,74,,,,,,,,,
ANTIOQUIA,2020,16788,18362,14871,3710,,,,,,,,,
ARAUCA,2020,458,452,472,153,,,,,,,,,
ARAUCA CAP,2020,344,268,217,108,,,,,,,,,
ARMENIA,2020,1631,1925,1866,789,,,,,,,,,
ATLANTICO,2020,3958,2996,3034,2311,,,,,,,,,
BARRANQUILLA,2020,6524,6007,8436,3045,,,,,,,,,
BOGOTA DC,2020,59866,87433,101326,16640,,,,,,,,,
BOLIVAR,2020,2445,2484,2120,1214,,,,,,,,,
BOYACA,2020,3630,4438,4593,1290,,,,,,,,,
BUCARAMANGA,2020,5250,6155,5456,1412,,,,,,,,,
CALDAS,2020,967,1670,1198,385,,,,,,,,,
CALI,2020,19162,23610,16992,7281,,,,,,,,,
CAQUETA,2020,525,612,507,199,,,,,,,,,
CARTAGENA,2020,4647,5268,4170,1895,,,,,,,,,
CASANARE,2020,697,875,837,269,,,,,,,,,
CAUCA,2020,3613,4745,4554,1551,,,,,,,,,
CESAR,2020,2418,2632,1986,533,,,,,,,,,
CHOCO,2020,460,396,477,254,,,,,,,,,
CORDOBA,2020,3050,2923,3778,2266,,,,,,,,,
CUNDINAMARCA,2020,12593,15445,18217,4417,,,,,,,,,
FLORENCIA,2020,874,1169,893,326,,,,,,,,,
GUAINIA,2020,29,20,65,105,,,,,,,,,
GUAVIARE,2020,65,106,106,66,,,,,,,,,
HUILA,2020,3244,3342,2560,907,,,,,,,,,
IBAGUE,2020,2623,3221,3253,852,,,,,,,,,
PUERTO INIRIDA,2020,86,67,201,102,,,,,,,,,
LA GUAJIRA,2020,2167,2622,2248,954,,,,,,,,,
LETICIA,2020,153,279,262,68,,,,,,,,,
MAGDALENA,2020,2947,3324,2996,1460,,,,,,,,,
MANIZALES,2020,1914,1856,2261,741,,,,,,,,,
MEDELLIN,2020,20943,25779,21564,4150,,,,,,,,,
META,2020,1575,1787,1504,704,,,,,,,,,
MITU,2020,20,26,28,22,,,,,,,,,
MOCOA,2020,214,203,219,43,,,,,,,,,
MONTERIA,2020,1046,986,1761,476,,,,,,,,,
NARIÑO,2020,3486,3307,3253,1230,,,,,,,,,
NEIVA,2020,2361,2887,2801,641,,,,,,,,,
NORTE DE SANTANDER,2020,2710,2422,2069,705,,,,,,,,,
PASTO,2020,2865,4206,4137,766,,,,,,,,,
PEREIRA,2020,2840,3292,2631,525,,,,,,,,,
POPAYAN,2020,698,816,972,414,,,,,,,,,
PUERTO CARREÑO,2020,54,46,93,46,,,,,,,,,
PUTUMAYO,2020,785,857,748,286,,,,,,,,,
QUIBDO,2020,301,389,371,328,,,,,,,,,
QUINDIO,2020,1170,1417,1256,410,,,,,,,,,
