exec_date,index,entity,year,period,total
2020-12-16 11:40:22.538824,90,00000,2016,13,510.5048
2020-12-16 11:40:22.538824,91,00000,2017,1,450.6113
2020-12-16 11:40:22.538824,92,00000,2017,2,516.5593
2020-12-16 11:40:22.538824,93,00000,2017,3,473.9904
2020-12-16 11:40:22.538824,94,00000,2017,4,477.4961
2020-12-16 11:40:22.538824,95,00000,2017,5,501.1064
2020-12-16 11:40:22.538824,96,00000,2017,6,500.8386
2020-12-16 11:40:22.538824,97,00000,2017,7,476.7901
2020-12-16 11:40:22.538824,98,00000,2017,8,480.036
2020-12-16 11:40:22.538824,99,00000,2017,9,507.0607
2020-12-16 11:40:22.538824,100,00000,2017,10,471.9698
2020-12-16 11:40:22.538824,101,00000,2017,11,518.0341
2020-12-16 11:40:22.538824,102,00000,2017,12,456.8984
2020-12-16 11:40:22.538824,103,00000,2017,13,428.4718
2020-12-16 11:40:22.538824,104,00000,2018,1,658.3843
2020-12-16 11:40:22.538824,105,00000,2018,2,525.3806
2020-12-16 11:40:22.538824,106,00000,2018,3,1017.7321
2020-12-16 11:40:22.538824,107,00000,2018,4,915.3155
2020-12-16 11:40:22.538824,108,00000,2018,5,272.585
2020-12-16 11:40:22.538824,109,00000,2018,6,300.2324
2020-12-16 11:40:22.538824,110,00000,2018,7,359.5786
2020-12-16 11:40:22.538824,111,00000,2018,8,358.2983
2020-12-16 11:40:22.538824,112,00000,2018,9,323.7843
2020-12-16 11:40:22.538824,113,00000,2018,10,424.7219
2020-12-16 11:40:22.538824,114,00000,2018,11,417.6064
2020-12-16 11:40:22.538824,115,00000,2018,12,391.9034
2020-12-16 11:40:22.538824,116,00000,2018,13,572.3579
2020-12-16 11:40:22.538824,117,00000,2019,1,574.7988
2020-12-16 11:40:22.538824,118,00000,2019,2,663.6699
2020-12-16 11:40:22.538824,119,00000,2019,3,646.1672
2020-12-16 11:40:22.538824,120,00000,2019,4,572.4325
2020-12-16 11:40:22.538824,121,00000,2019,5,520.8298
2020-12-16 11:40:22.538824,122,00000,2019,6,498.5529
2020-12-16 11:40:22.538824,123,00000,2019,7,467.7044
2020-12-16 11:40:22.538824,124,00000,2019,8,477.8245
2020-12-16 11:40:22.538824,125,00000,2019,9,484.02
2020-12-16 11:40:22.538824,126,00000,2019,10,515.7042
2020-12-16 11:40:22.538824,127,00000,2019,11,443.899
2020-12-16 11:40:22.538824,128,00000,2019,12,438.7735
2020-12-16 11:40:22.538824,129,00000,2019,13,500.3574
2020-12-16 11:40:22.538824,130,00000,2020,1,463.2248
2020-12-16 11:40:22.538824,131,00000,2020,2,564.813
2020-12-16 11:40:22.538824,132,00000,2020,3,558.1839
2020-12-16 11:40:22.538824,133,00000,2020,4,151.1635
2020-12-16 11:40:22.538824,134,00000,2020,5,0.0
2020-12-16 11:40:22.538824,135,00000,2020,6,0.0
2020-12-16 11:40:22.538824,136,00000,2020,7,0.0
2020-12-16 11:40:22.538824,137,00000,2020,8,0.0
2020-12-16 11:40:22.538824,138,00000,2020,9,0.0
2020-12-16 11:40:22.538824,139,00000,2020,10,0.0
2020-12-16 11:40:22.538824,140,00000,2020,11,0.0
2020-12-16 11:40:22.538824,141,00000,2020,12,0.0
2020-12-16 11:40:22.538824,142,00000,2020,13,0.0
2020-12-16 11:40:22.538824,143,91000,2010,1,1366.3441
2020-12-16 11:40:22.538824,144,91000,2010,2,0.0
2020-12-16 11:40:22.538824,145,91000,2010,3,0.0
2020-12-16 11:40:22.538824,146,91000,2010,4,273.5465
2020-12-16 11:40:22.538824,147,91000,2010,5,0.0
2020-12-16 11:40:22.538824,148,91000,2010,6,0.0
2020-12-16 11:40:22.538824,149,91000,2010,7,0.0
2020-12-16 11:40:22.538824,150,91000,2010,8,0.0
2020-12-16 11:40:22.538824,151,91000,2010,9,102.7535
2020-12-16 11:40:22.538824,152,91000,2010,10,155.5188
2020-12-16 11:40:22.538824,153,91000,2010,11,198.5642
2020-12-16 11:40:22.538824,154,91000,2010,12,306.872
2020-12-16 11:40:22.538824,155,91000,2010,13,584.5842
2020-12-16 11:40:22.538824,156,91000,2011,1,199.0173
2020-12-16 11:40:22.538824,157,91000,2011,2,149.6061
2020-12-16 11:40:22.538824,158,91000,2011,3,163.3314
2020-12-16 11:40:22.538824,159,91000,2011,4,127.6456
2020-12-16 11:40:22.538824,160,91000,2011,5,214.1151
2020-12-16 11:40:22.538824,161,91000,2011,6,137.2533
2020-12-16 11:40:22.538824,162,91000,2011,7,102.94
2020-12-16 11:40:22.538824,163,91000,2011,8,144.116
2020-12-16 11:40:22.538824,164,91000,2011,9,156.4687
2020-12-16 11:40:22.538824,165,91000,2011,10,189.4095
2020-12-16 11:40:22.538824,166,91000,2011,11,146.861
2020-12-16 11:40:22.538824,167,91000,2011,12,179.8018
2020-12-16 11:40:22.538824,168,91000,2011,13,72.7442
